year,study_title,outcome_measures,country,continents,data_analysis_method,definition_of_dyslipidemia_used,study_design,follow_up_duration,follow_up_duration_in_weeks,,exposure,method_for_assessing_adherence_(if_any),outcome_measures_2,data_analysis_method_2,"study_population_(size,_primary_vs_secondary_%,_other_characteristics)",findings,author,author_details,type_of_lipid-lowering_medication,cholesterol_marker,Goal,Goal_details,samplesize,numberofsors,prevalenceofsors,predictorofsors,effect_size_for_the_association_between_sors_and_cvd,limitations,confounding,confounding_/adjusted_variables
2006,"Treating to target patients with 
  primary hyperlipidaemia:
  comparison of the effects of 
  ATOrvastatin and ROSuvastatin 
  (the ATOROS study)","primary outcome was 
  the percentage of patients reaching the LDL-C 
  goal of 130mg/dL; secondary outcomes were changes in lipid 
  and non-lipid metabolic parameters.",Greece,Europe,"Relationships
  between variables were assessed by the Pearsonâ€™s and
  Spearman correlation coefficients for parametric and
  non-parametric variables, respectively. A comparison
  of continuous variables was performed by a paired twotailed Studentâ€™s t-test for normally distributed variables
  and Wilcoxon test for non-normally distributed
  variables. Chi-square tests were used for categorical
  variables.ANCOVA
  was used to â€˜removeâ€™ the effect of differences in the
  baseline values of serum lipid parameters and also to asses the
  effect of statin therapy on serum uric acid levels.","Fasting serum lipid level entry criteria were
  total cholesterol (TC) > 240 mg/dL (6.2 mmol/L) at
  weeks â€“4 and â€“2, and triglycerides (TG) < 350 mg/dL
  (4.0mmol/L).",RCT,24 weeks,24,,"RSV 10mg/day 
  or ATV 20mg/day After 6 weeks 
  statin was increased 
  (to RSV 20mg/day or ATV 40mg/day)",NA,"primary outcome was 
  the percentage of patients reaching the LDL-C 
  goal of 130mg/dL; secondary outcomes were changes in lipid 
  and non-lipid metabolic parameters.","Relationships
  between variables were assessed by the Pearsonâ€™s and
  Spearman correlation coefficients for parametric and
  non-parametric variables, respectively. A comparison
  of continuous variables was performed by a paired twotailed Studentâ€™s t-test for normally distributed variables
  and Wilcoxon test for non-normally distributed
  variables. Chi-square tests were used for categorical
  variables.ANCOVA
  was used to â€˜removeâ€™ the effect of differences in the
  baseline values of serum lipid parameters and also to asses the
  effect of statin therapy on serum uric acid levels.","120 participants, Primary Prevention, Primary hyperlipidaemia, both sexes, all age groups","A total of 45 patients (75.0%) in the RSV-treated
  group and 43 (71.7%) in the ATV-treated group
  achieved the pre-specified treatment LDL-C target
  at the initial dose of statin therapy.Dose titration
  of both statins further improved the lipid profile
  (Table 1). Specifically, RSV (10/20mg daily) reduced
  TC levels by 36.1% (mean value, â€“103mg/dL), LDL-C.by 48.7% (â€“96mg/dL) and TG by 29.0% (â€“46mg/dL),
  and increased HDL-C by 5.0% (+2 mg/dL); ATV
  (20/40 mg/day) reduced TC levels by 36.9% (mean
  value, â€“110 mg/dL), LDL-C by 44.6% (â€“100 mg/dL)
  and TG levels by 27.8% (â€“46 mg/dL), and decreased
  HDL-C levels by 2.1% (â€“1.0 mg/dL) from baseline
  (Table 1). After correcting for baseline HDL-C values,
  the RSV regimen was more efficacious than ATV in
  raising HDL-C levels (one-way ANCOVA, F = 10.45,
  p = 0.002).",Milionis,2006,Atorvastatin (ATV) and rosuvastatin (RSV),LDL,130 mg/dL  ,NA  ,120,32,0.26,75% for Rosuvastatin and 71.3% for Atorvastatin,NA,NA,NA,
2003,Hemostatic Effects of Atorvastatin Versus Simvastatin,ATP III,Turkey,Other,"Efficacy and safety analyses were performed based on 2-paired
  Studentâ€™s t-test, Mannâ€“Whitney U, and Wilcoxon W tests for comparison of scale nonparametric variables. Lambda test was done for comparison of nominal variables. The level of significance was set at p < 0.05.",LDL-C levels >130 mg/dL.,RCT,52 weeks,52,,atorvastatin and simvastatin 10mg dosage increased to 20mg at 12 weeks if ATP III not achieved,NA,ATP III,"Efficacy and safety analyses were performed based on 2-paired
  Studentâ€™s t-test, Mannâ€“Whitney U, and Wilcoxon W tests for comparison of scale nonparametric variables. Lambda test was done for comparison of nominal variables. The level of significance was set at p < 0.05.","61 participants, primary prevention, primary hypercholestrolemia, both sexes, 39-74 years","Atorvastatin decreased the levels of TC (p < 0.001),
  LDL-C (p < 0.001), and TGs (p < 0.01) significantly, and
  VLDL-C insignificantly after 24 weeks. HDL-C levels increased insignificantly with atorvastatin after 24 weeks.
  Simvastatin decreased the levels of TC (p < 0.001) and
  LDL-C (p<0.001) significantly. Changes in very-low-density lipoprotein cholesterol (VLDL-C), TGs, and HDL-C
  were not significant at the end of study. After dose adjustment at 12 weeks, there were significant differences between 12 and 24 weeks for the levels of HDL-C and LDLC in the atorvastatin group (p < 0.05), but only for the levels of HDL-C in the simvastatin group (p < 0.05). After 24
  weeks, there was no significant difference between the
  groups for serum lipid parameters.Adverse effects were seen in 5 patients (14.2%) treated
  with atorvastatin and 3 patients (11.5%) who received simvastatin.",Kadikoylu,2003,Atorvastatin (10-20 mg),LDL,130 mg/dL  ,NA  ,35,5,0.143,NA,NA,NA,NA,
2003,Hemostatic Effects of Atorvastatin Versus Simvastatin,ATP III,Turkey,Other,"Efficacy and safety analyses were performed based on 2-paired
  Studentâ€™s t-test, Mannâ€“Whitney U, and Wilcoxon W tests for comparison of scale nonparametric variables. Lambda test was done for comparison of nominal variables. The level of significance was set at p < 0.05.",LDL-C levels >130 mg/dL.,RCT,53 weeks,53,,atorvastatin and simvastatin 10mg dosage increased to 20mg at 12 weeks if ATP III not achieved,NA,ATP III,"Efficacy and safety analyses were performed based on 2-paired
  Studentâ€™s t-test, Mannâ€“Whitney U, and Wilcoxon W tests for comparison of scale nonparametric variables. Lambda test was done for comparison of nominal variables. The level of significance was set at p < 0.05.","62 participants, primary prevention, primary hypercholestrolemia, both sexes, 39-74 years","Atorvastatin decreased the levels of TC (p < 0.001),
  LDL-C (p < 0.001), and TGs (p < 0.01) significantly, and
  VLDL-C insignificantly after 24 weeks. HDL-C levels increased insignificantly with atorvastatin after 24 weeks.
  Simvastatin decreased the levels of TC (p < 0.001) and
  LDL-C (p<0.001) significantly. Changes in very-low-density lipoprotein cholesterol (VLDL-C), TGs, and HDL-C
  were not significant at the end of study. After dose adjustment at 12 weeks, there were significant differences between 12 and 24 weeks for the levels of HDL-C and LDLC in the atorvastatin group (p < 0.05), but only for the levels of HDL-C in the simvastatin group (p < 0.05). After 24
  weeks, there was no significant difference between the
  groups for serum lipid parameters.Adverse effects were seen in 5 patients (14.2%) treated
  with atorvastatin and 3 patients (11.5%) who received simvastatin.",Kadikoylu,2003,Simvastatin (10-20 mg),LDL,130 mg/dL  ,NA  ,14,5,0.153,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,Europe,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","412 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (R5,II,M)",Rosuvastatin 5mg,LDL,100 mg/dL  ,NCEP ATP II Medium risk  ,42,5,0.12,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","413 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (R10,II,M)",Rosuvastatin 10 mg,LDL,100 mg/dL  ,NCEP ATP II Medium risk  ,43,5,0.12,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","414 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (A10,II,M)",Atorvastatin 10 mg,LDL,100 mg/dL  ,NCEP ATP II Medium risk  ,56,12,0.21,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","415 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (R5,II,L)",Rosuvastatin 5mg,LDL,130 mg/dL  ,NCEP ATP II Low risk  ,56,0,0,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","416 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (R10,II,L)",Rosuvastatin 10 mg,LDL,130 mg/dL  ,NCEP ATP II Low risk  ,49,0,0,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","417 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (A10,II,L)",Atorvastatin 10 mg,LDL,130 mg/dL  ,NCEP ATP II Low risk  ,50,1,0.02,NA,NA,,,
2002,"Effects of rosuvastatin and atorvastatin compared
  over 52 weeks of treatment in patients with
  hypercholesterolemia","proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.",Northern Europe,,"An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","fasting LDL-C level between
  160 and < 250 mg/dL (4.14 and < 6.5 mmol/L), fasting triglyceride levels</=400 mg/dL (</=4.5 mmol/L), and an EPAT
  score </=28.",RCT,12 weeks,12,,rosuvastatin and atorvastatin,NA,"proportions of patients meeting ATP-II
  and European LDL-C goals at 12 weeks and those meeting
  ATP-II LDL-C goals and at what dosage at 52 weeks.","An analysis of variance (ANOVA) model, including terms
  for treatment and center, was used to perform comparisons
  between treatment groups for changes from baseline (average of 3 pretreatment values) in lipid variables, with the last
  observation carried forward in the intention-to-treat population at week 12 and observed data at week 52. Pairwise t
  tests were performed separately for the comparison between
  the 10-mg dose of rosuvastatin and the 10-mg dose of atorvastatin, and also the 5-mg dose of rosuvastatin and the 10-mg
  dose of atorvastatin.","418 participants, >18 years, both sexes, primary prevention","For LDL-C, marked reductions from baseline were
  observed in all treatment groups by week 2, with the reduction in the rosuvastatin 10-mg group
  being greatest (46% vs 41% and 35% in the rosuvastatin 5-mg and atorvastatin 10-mg groups, respectively).Notably, most patients achieved their ATP-II LDL-C goal
  by week 2, with the proportion of patients in the
  high-risk category achieving target levels being much
  greater in the rosuvastatin groups (data not shown). At
  week 12, more patients in the rosuvastatin groupsthan in the atorvastatin group had achieved their goal,
  Rosuvastatin treatment was also associated with a
  greater proportion of patients being brought within
  European LDL-C guidelines at week 12. Overall, the
  European LDL-C goal of <116 mg/dL (< 3.0 mmol/L)
  for high-risk patients or patients with
  â€œotherâ€ risk was achieved in 101 of 135 patients
  (75%) in the rosuvastatin 5-mg group, 114 of 132
  (86%) in the rosuvastatin 10-mg group, and 77 of 139
  (55%) in the atorvastatin 10-mg group; among high-risk
  patients, the target level was achieved in 76 of 107
  (71%), 79 of 92 (86%), and 53 of 105 (51%), respectively.Among patients completing 52 weeks of treatment,
  all but 2 patients (98%) from the initial rosuvastatin
  10-mg group achieved their ATP-II LDL-C goal (Table
  III), with 97% of high-risk patients in this group
  achieving an LDL-C goal of  100 mg/dL, compared
  with 61% of high-risk patients receiving atorvastatin.",Olsson,"2002 (R5,III,M)",Rosuvastatin 5mg,LDL,100 mg/dL  ,NCEP ATP III Medium risk  ,37,6,0.16,NA,NA,,,
